title,郵便番号,都道府県名,市名,区名,address,電話番号,FAX番号,lat,lng,ホームページURL,id,避難所種別（風水害）,避難所種別（地震）
三宝小学校,590-0906,大阪府,堺市,堺区,大阪府堺市堺区三宝町5丁286番地,072-238-0001,,34.59364358,135.472424,,1,有,有
錦西小学校,590-0938,大阪府,堺市,堺区,大阪府堺市堺区神明町西2丁1番1号,072-232-1056,,34.5849452,135.4784813,,2,有,有
市小学校,590-0951,大阪府,堺市,堺区,大阪府堺市堺区市之町西3丁1番14号,072-223-4610,,34.58012028,135.4704437,,3,有,有
錦綾小学校,590-0006,大阪府,堺市,堺区,大阪府堺市堺区錦綾町1丁6番19号,072-228-5183,,34.58575739,135.485712,,4,有,有
浅香山小学校,590-0018,大阪府,堺市,堺区,大阪府堺市堺区今池町5丁4番43号,072-238-0003,,34.58611592,135.4945995,,5,有,有
錦小学校,590-0934,大阪府,堺市,堺区,大阪府堺市堺区九間町東3丁1番17号,072-232-1036,,34.58445369,135.4828627,,6,有,有
熊野小学校,590-0946,大阪府,堺市,堺区,大阪府堺市堺区熊野町東5丁1番49号,072-233-3227,,34.57603182,135.4793786,,7,有,有
榎小学校,590-0027,大阪府,堺市,堺区,大阪府堺市堺区榎元町2丁3番11号,072-233-2552,,34.57021481,135.4855827,,8,有,有
三国丘小学校,590-0021,大阪府,堺市,堺区,大阪府堺市堺区北三国ヶ丘町5丁1番1号,072-232-2818,,34.57481091,135.4923824,,9,有,有
英彰小学校,590-0961,大阪府,堺市,堺区,大阪府堺市堺区寺地町西4丁1番1号,072-221-8666,,34.57628903,135.4654575,,10,有,有
旧湊小学校,590-0829,大阪府,堺市,堺区,大阪府堺市堺区東湊町2丁119番地,,,34.56807535,135.4663082,,11,有,有
新湊小学校,590-0835,大阪府,堺市,堺区,大阪府堺市堺区西湊町6丁6番1号,072-244-6776,,34.56610356,135.46098,,12,有,有
少林寺小学校,590-0963,大阪府,堺市,堺区,大阪府堺市堺区少林寺町東4丁1番1号,072-232-1126,,34.57106945,135.4720144,,13,有,有
安井小学校,590-0064,大阪府,堺市,堺区,大阪府堺市堺区南安井町4丁1番5号,072-238-5341,,34.57062702,135.4779388,,14,有,有
大仙西小学校,590-0821,大阪府,堺市,堺区,大阪府堺市堺区大仙西町4丁129番地,072-241-2977,,34.56436868,135.4722029,,15,有,有
神石小学校,590-0814,大阪府,堺市,堺区,大阪府堺市堺区石津町2丁6番1号,072-241-2151,,34.55463956,135.4666616,,16,有,有
大仙小学校,590-0801,大阪府,堺市,堺区,大阪府堺市堺区大仙中町16番1号,072-241-0888,,34.5605928,135.4787391,,17,有,有
浜寺石津小学校,592-8334,大阪府,堺市,西区,大阪府堺市西区浜寺石津町中2丁3番28号,072-241-6505,,34.55975017,135.4550631,,18,有,有
浜寺東小学校,592-8341,大阪府,堺市,西区,大阪府堺市西区浜寺船尾町東1丁101番地,072-265-1141,,34.55130459,135.4581056,,19,有,有
浜寺小学校,592-8349,大阪府,堺市,西区,大阪府堺市西区浜寺諏訪森町東2丁163番地,072-261-9407,,34.54945599,135.4516509,,20,有,有
浜寺昭和小学校,592-8345,大阪府,堺市,西区,大阪府堺市西区浜寺昭和町2丁282番地,072-261-0677,,34.54239861,135.4487313,,21,有,有
津久野小学校,593-8322,大阪府,堺市,西区,大阪府堺市西区津久野町3丁14番11号,072-262-0303,,34.54504026,135.4708139,,22,有,有
上野芝小学校,593-8308,大阪府,堺市,西区,大阪府堺市西区神野町2丁25番1号,072-271-4123,,34.54467499,135.4757749,,23,有,有
家原寺小学校,593-8304,大阪府,堺市,西区,大阪府堺市西区家原寺町1丁7番1号,072-274-3401,,34.53736431,135.4760489,,24,有,有
鳳小学校,593-8327,大阪府,堺市,西区,大阪府堺市西区鳳中町2丁22番地,072-262-0124,,34.53411874,135.4587199,,25,有,有
鳳南小学校,593-8325,大阪府,堺市,西区,大阪府堺市西区鳳南町1丁7番地,072-272-1200,,34.52823932,135.4576333,,26,有,有
向丘小学校,593-8303,大阪府,堺市,西区,大阪府堺市西区上野芝向ヶ丘町6丁7番1号,072-278-0340,,34.53950784,135.4781027,,27,有,有
平岡小学校,593-8305,大阪府,堺市,西区,大阪府堺市西区堀上緑町1丁6番1号,072-271-5044,,34.53459475,135.4770369,,28,有,有
福泉上小学校,593-8311,大阪府,堺市,西区,大阪府堺市西区上127番地の1,072-274-4611,,34.52578549,135.468357,,29,有,有
福泉小学校,593-8315,大阪府,堺市,西区,大阪府堺市西区菱木2丁2186番地の1,072-273-1861,,34.5144316,135.470755,,30,有,有
福泉東小学校,593-8312,大阪府,堺市,西区,大阪府堺市西区草部946番地の1,072-274-9311,,34.51922131,135.4731655,,31,有,有
八田荘小学校,599-8267,大阪府,堺市,中区,大阪府堺市中区八田寺町231番地,072-271-0335,,34.52711658,135.4802131,,32,有,有
深井小学校,599-8272,大阪府,堺市,中区,大阪府堺市中区深井中町1409番地,072-278-0108,,34.53526144,135.4917621,,33,有,有
東百舌鳥小学校,599-8234,大阪府,堺市,中区,大阪府堺市中区土塔町139番地,072-236-0288,,34.53828222,135.5082165,,34,有,有
久世小学校,599-8251,大阪府,堺市,中区,大阪府堺市中区平井999番地,072-278-0324,,34.52059954,135.4955448,,35,有,有
東陶器小学校,599-8242,大阪府,堺市,中区,大阪府堺市中区陶器北2556番地,072-236-0036,,34.51850583,135.5221004,,36,有,有
西陶器小学校,599-8246,大阪府,堺市,中区,大阪府堺市中区田園570番地,072-236-0035,,34.51034335,135.5119751,,37,有,有
宮園小学校,599-8274,大阪府,堺市,中区,大阪府堺市中区宮園町4番1号,072-278-0981,,34.52574356,135.4946664,,38,有,有
福田小学校,599-8241,大阪府,堺市,中区,大阪府堺市中区福田727番地,072-235-9286,,34.52472842,135.5185725,,39,有,有
八田荘西小学校,599-8266,大阪府,堺市,中区,大阪府堺市中区毛穴町268番地の2,072-270-0048,,34.52713073,135.4758038,,40,有,有
東深井小学校,599-8237,大阪府,堺市,中区,大阪府堺市中区深井水池町3214番地,072-278-2791,,34.53095968,135.5010199,,41,有,有
土師小学校,599-8238,大阪府,堺市,中区,大阪府堺市中区土師町3丁35番1号,072-277-9020,,34.53848224,135.499744,,42,有,有
深井西小学校,599-8271,大阪府,堺市,中区,大阪府堺市中区深井北町926番地,072-278-6301,,34.53912787,135.4837469,,43,有,有
深阪小学校,599-8253,大阪府,堺市,中区,大阪府堺市中区深阪11番地,072-237-3210,,34.50909052,135.5081857,,44,有,有
東三国丘小学校,591-8046,大阪府,堺市,北区,大阪府堺市北区東三国ヶ丘町2丁2番1号,072-252-0263,,34.57064096,135.4978513,,45,有,有
東浅香山小学校,591-8042,大阪府,堺市,北区,大阪府堺市北区大豆塚町1丁60番地,072-252-1081,,34.58015247,135.5045738,,46,有,有
五箇荘小学校,591-8005,大阪府,堺市,北区,大阪府堺市北区新堀町2丁58番地,072-252-1418,,34.57724267,135.5140737,,47,有,有
金岡小学校,591-8022,大阪府,堺市,北区,大阪府堺市北区金岡町1254番地,072-252-0028,,34.55869368,135.515184,,48,有,有
北八下小学校,591-8012,大阪府,堺市,北区,大阪府堺市北区中村町250番地,072-252-0212,,34.56515116,135.5367354,,49,有,有
百舌鳥小学校,591-8032,大阪府,堺市,北区,大阪府堺市北区百舌鳥梅町2丁498番地,072-252-0477,,34.55084447,135.4959109,,50,有,有
新金岡小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町1丁4番1号,072-252-1723,,34.56963085,135.5110772,,51,有,有
光竜寺小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町3丁7番1号,072-251-2032,,34.57235017,135.5216223,,52,有,有
大泉学園（大泉小学校・大泉中学校）,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町4丁9番1号,072-251-2816,,34.56739874,135.5226853,,53,有,有
中百舌鳥小学校,591-8023,大阪府,堺市,北区,大阪府堺市北区中百舌鳥町6丁1033番地の2,072-258-2650,,34.55020558,135.5072466,,54,有,有
五箇荘東小学校,591-8002,大阪府,堺市,北区,大阪府堺市北区北花田町2丁203番地,072-255-7911,,34.58093389,135.519633,,55,有,有
西百舌鳥小学校,591-8033,大阪府,堺市,北区,大阪府堺市北区百舌鳥西之町1丁82番地,072-258-0231,,34.55037228,135.4900222,,56,有,有
金岡南小学校,591-8022,大阪府,堺市,北区,大阪府堺市北区金岡町1182番地の1,072-258-3104,,34.55555235,135.5119115,,57,有,有
新金岡東小学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町4丁1番9号,072-255-8414,,34.5681785,135.5158543,,58,有,有
新浅香山小学校,591-8008,大阪府,堺市,北区,大阪府堺市北区東浅香山町3丁31番4号,072-254-5081,,34.58571328,135.5086262,,59,有,有
南八下小学校,599-8103,大阪府,堺市,東区,大阪府堺市東区菩提町5丁228番地,072-285-0614,,34.54701745,135.5380671,,60,有,有
八下西小学校,599-8104,大阪府,堺市,東区,大阪府堺市東区引野町1丁110番地,072-286-1611,,34.55066357,135.5226835,,61,有,有
日置荘小学校,599-8114,大阪府,堺市,東区,大阪府堺市東区日置荘西町2丁46番1号,072-285-0260,,34.54133192,135.5341437,,62,有,有
日置荘西小学校,599-8114,大阪府,堺市,東区,大阪府堺市東区日置荘西町6丁9番1号,072-285-5238,,34.53839427,135.5251286,,63,有,有
白鷺小学校,599-8107,大阪府,堺市,東区,大阪府堺市東区白鷺町2丁8番1号,072-285-8585,,34.54484709,135.515406,,64,有,有
登美丘東小学校,599-8122,大阪府,堺市,東区,大阪府堺市東区丈六224番地,072-236-2130,,34.52681243,135.5400087,,65,有,有
登美丘西小学校,599-8126,大阪府,堺市,東区,大阪府堺市東区大美野135番地,072-236-0031,,34.52680573,135.528789,,66,有,有
登美丘南小学校,599-8127,大阪府,堺市,東区,大阪府堺市東区草尾596番地,072-236-6051,,34.51785578,135.5364528,,67,有,有
野田小学校,599-8123,大阪府,堺市,東区,大阪府堺市東区北野田897番地の2,072-236-0065,,34.52376154,135.551125,,68,有,有
上神谷小学校,590-0121,大阪府,堺市,南区,大阪府堺市南区片蔵1425番地,072-297-0028,,34.48006784,135.5121338,,69,有,有
福泉中央小学校,590-0141,大阪府,堺市,南区,大阪府堺市南区桃山台4丁17番1号,072-298-3045,,34.49649512,135.4839119,,70,有,有
美木多小学校,590-0138,大阪府,堺市,南区,大阪府堺市南区鴨谷台1丁48番1号,072-297-0821,,34.47448146,135.4843523,,71,有,有
宮山台小学校,590-0101,大阪府,堺市,南区,大阪府堺市南区宮山台2丁2番1号,072-297-0515,,34.50419469,135.4991866,,72,有,有
竹城台小学校,590-0105,大阪府,堺市,南区,大阪府堺市南区竹城台3丁2番1号,072-297-0777,,34.49630636,135.5036329,,73,有,有
若松台小学校,590-0116,大阪府,堺市,南区,大阪府堺市南区若松台1丁3番1号,072-292-0001,,34.49150454,135.5066883,,74,有,有
三原台小学校,590-0111,大阪府,堺市,南区,大阪府堺市南区三原台3丁2番1号,072-291-0394,,34.50152198,135.5206226,,75,有,有
茶山台小学校,590-0115,大阪府,堺市,南区,大阪府堺市南区茶山台2丁5番1号,072-291-1104,,34.49089727,135.5171664,,76,有,有
槇塚台小学校,590-0114,大阪府,堺市,南区,大阪府堺市南区槇塚台3丁39番1号,072-291-6000,,34.48268881,135.5275566,,77,有,有
桃山台小学校,590-0141,大阪府,堺市,南区,大阪府堺市南区桃山台2丁6番1号,072-299-0038,,34.48901258,135.4882479,,78,有,有
竹城台東小学校,590-0105,大阪府,堺市,南区,大阪府堺市南区竹城台1丁10番1号,072-235-0070,,34.50318682,135.5107685,,79,有,有
原山ひかり小学校,590-0132,大阪府,堺市,南区,大阪府堺市南区原山台4丁3番1号,072-293-5028,,34.48024891,135.4945722,,80,有,有
庭代台小学校,590-0133,大阪府,堺市,南区,大阪府堺市南区庭代台3丁12番1号,072-298-3033,,34.47396979,135.5000749,,81,有,有
赤坂台小学校,590-0144,大阪府,堺市,南区,大阪府堺市南区赤坂台2丁2番1号,072-298-3030,,34.48672571,135.4761982,,82,有,有
城山台小学校,590-0137,大阪府,堺市,南区, 大阪府堺市南区城山台1丁20番1号,072-299-6571,,34.46866325,135.4878604,,83,有,有
御池台小学校,590-0134,大阪府,堺市,南区,大阪府堺市 南区御池台2丁3番1号,072-298-7500,,34.46543746,135.5035762,,84,有,有
新檜尾台小学校,590-0143,大阪府,堺市,南区,大阪府堺市 南区新檜尾台3丁7番1号,072-298-7300,,34.48020142,135.4768595,,85,有,有
大阪健康福祉短期大学 堺・泉ヶ丘キャンパス,590-0117,大阪府,堺市,南区,大阪府堺市 南区高倉台1丁2番1号,072-292-6625,,34.49574181,135.5192426,,86,有,有
はるみ小学校,590-0113,大阪府,堺市,南区,大阪府堺市 南区晴美台3丁3番1号,072-290-1112,,34.49612665,135.535898,,87,有,有
黒山小学校,587-0003,大阪府,堺市,美原区,大阪府堺市美原区阿弥93番地,072-361-0602,,34.53492145,135.5566316,,88,有,有
平尾小学校,587-0022,大阪府,堺市,美原区,大阪府堺市美原区平尾360番地,072-361-0029,,34.5328056,135.5665674,,89,有,有
美原北小学校,587-0001,大阪府,堺市,美原区,大阪府堺市美原区大保19番地,072-361-0002,,34.54942108,135.5608296,,90,有,有
八上小学校,587-0063,大阪府,堺市,美原区,大阪府堺市 美原区大饗117番地1,072-361-0810,,34.54363424,135.5452874,,91,有,有
美原西小学校,587-0062,大阪府,堺市,美原区,大阪府堺市 美原区太井548番地,072-362-4891,,34.53825347,135.5531802,,92,有,有
さつき野小学校,587-0032,大阪府,堺市,美原区,大阪府堺市美原区さつき野東1丁目6番1号,072-362-4689,,34.53165097,135.5818898,,93,有,有
月州中学校,590-0984,大阪府,堺市,堺区,大阪府堺市堺区神南辺町1丁1番地,072-238-0968,,34.58474233,135.4746574,,94,有,有
殿馬場中学校,590-0944,大阪府,堺市,堺区,大阪府堺市堺区櫛屋町東3丁2番1号,072-238-8101,,34.57876759,135.4794146,,95,有,有
三国丘中学校,590-0026,大阪府,堺市,堺区,大阪府堺市堺区向陵西町3丁6番15号,072-221-8511,,34.5704171,135.4938528,,96,有,有
長尾中学校,591-8025,大阪府,堺市,北区,大阪府堺市 北区長曽根町1179番地の5,072-252-0347,,34.57350077,135.5027386,,97,有,有
金岡南中学校,591-8022,大阪府,堺市,北区,大阪府堺市北区金岡町2469番地,072-258-0233,,34.55573612,135.5219027,,98,有,有
八下中学校,591-8012,大阪府,堺市,北区,大阪府堺市 北区中村町977番地の20,072-252-0412,,34.56021232,135.5324038,,99,無,有
大浜中学校,590-0976,大阪府,堺市,堺区,大阪府堺市堺区大浜南町2丁4番1号,072-238-1988,,34.57401084,135.4614717,,100,有,有
浜寺中学校,592-8342,大阪府,堺市,西区,大阪府堺市西区浜寺船尾町西5丁60番地,072-261-2205,,34.5433461,135.4586793,,101,有,有
鳳中学校,593-8326,大阪府,堺市,西区,大阪府堺市西区鳳西町1丁159番地の1,072-265-1441,,34.52837132,135.4544128,,102,有,有
泉ヶ丘東中学校,599-8242,大阪府,堺市,中区,大阪府堺市中区陶器北184番地,072-236-2421,,34.51828695,135.5156488,,103,有,有
福泉中学校,593-8316,大阪府,堺市,西区,大阪府堺市西区山田2丁55番地,072-271-0267,,34.50876247,135.4644728,,104,有,有
関西大学堺キャンパス,590-0011,大阪府,堺市,堺区,大阪府堺市堺区香ヶ丘町1丁11番1号,072-229-5149,,34.58942331,135.4921896,,105,有,有
市立堺高校,590-0025,大阪府,堺市,堺区,大阪府堺市堺区向陵東町1丁10番1号,072-240-0840,,34.56413537,135.4971404,,106,有,有
東文化会館,,大阪府,堺市,東区,大阪府堺市東区北野田1084-136,072-230-0134,,34.5232406,135.5416212,,107,有,有
みはら大地幼稚園,587-0041,大阪府,堺市,美原区,大阪府堺市美原区菅生587番地,072-361-8772,,34.52311936,135.5706042,,108,有,有
東百舌鳥中学校,599-8232,大阪府,堺市,中区,大阪府堺市中区新家町260番地,072-236-5441,,34.54066259,135.5107246,,109,無,有
八田荘中学校,599-8262,大阪府,堺市,中区,大阪府堺市中区八田北町580番地の11,072-270-0601,,34.52627941,135.4809688,,110,無,有
深井中学校,599-8236,大阪府,堺市,中区,大阪府堺市中区深井沢町2470番地の1,072-270-0067,,34.52770532,135.5013343,,111,無,有
平井中学校,599-8251,大阪府,堺市,中区,大阪府堺市中区平井346番地,072-277-9015,,34.51751329,135.4979114,,112,無,有
深井中央中学校,599-8271,大阪府,堺市,中区,大阪府堺市中区深井北町220番地の1,072-278-7681,,34.53970523,135.4953454,,113,無,有
浜寺南中学校,592-8344,大阪府,堺市,西区,大阪府堺市 西区浜寺南町1丁55番地,072-262-6225,,34.53623315,135.4492492,,114,有,有
浅香山中学校,590-0018,大阪府,堺市,堺区, 大阪府堺市堺区今池町5丁3番8号,072-233-3586,,34.58463377,135.4939341,,115,無,有
陵西中学校,590-0821,大阪府,堺市,堺区, 大阪府堺市堺区大仙西町2丁79番地,072-244-4086,,34.56604514,135.469432,,116,無,有
旭中学校,590-0801,大阪府,堺市,堺区,大阪府堺市 堺区大仙中町11番1号,072-241-1827,,34.56199567,135.4783269,,117,無,有
日置荘中学校,599-8111,大阪府,堺市,東区,大阪府堺市 東区日置荘北町3丁11番28号,072-285-0460,,34.54112845,135.5356858,,118,無,有
南八下中学校,599-8103,大阪府,堺市,東区, 大阪府堺市東区菩提町2丁58番地,072-286-5571,,34.55056564,135.5330511,,119,無,有
登美丘中学校,599-8121,大阪府,堺市,東区, 大阪府堺市東区高松408番地,072-236-2426,,34.5264664,135.5313758,,120,無,有
野田中学校,599-8124,大阪府,堺市,東区, 大阪府堺市東区南野田101番地の1,072-235-3727,,34.5216124,135.5505521,,121,無,有
上野芝中学校,593-8303,大阪府,堺市,西区, 大阪府堺市西区上野芝向ヶ丘町5丁25番1号,072-278-0540,,34.54137057,135.4809942,,122,無,有
津久野中学校,593-8308,大阪府,堺市,西区,大阪府堺市西区神野町2丁16番1号,072-274-0215,,34.54179411,135.4748502,,123,無,有
中百舌鳥中学校,591-8023,大阪府,堺市,北区,大阪府堺市 北区中百舌鳥町6丁1034番地の11,072-257-4535,,34.54900336,135.5096264,,124,無,有
金岡北中学校,591-8021,大阪府,堺市,北区,大阪府堺市北区新金岡町1丁5番1号,072-252-0378,,34.57039057,135.5119087,,125,無,有
五箇荘中学校,591-8005,大阪府,堺市,北区,大阪府堺市 北区新堀町1丁85番地の2,072-254-0031,,34.57717041,135.5096718,,126,無,有
陵南中学校,591-8033,大阪府,堺市,北区,大阪府堺市北区百舌鳥西之町1丁75番地,072-252-1801,,34.54999967,135.4915512,,127,無,有
福泉南中学校,590-0141,大阪府,堺市,南区,大阪府堺市南区桃山台3丁7番1号,072-298-0001,,34.49709584,135.4817692,,128,無,有
宮山台中学校,590-0101,大阪府,堺市,南区,大阪府堺市南区宮山台1丁1番1号,072-297-2233,,34.49985118,135.5036753,,129,無,有
若松台中学校,590-0116,大阪府,堺市,南区,大阪府堺市南区若松台3丁34番1号,072-297-0129,,34.48684081,135.512957,,130,無,有
三原台中学校,590-0111,大阪府,堺市,南区,大阪府堺市南区三原台1丁12番1号,072-291-0395,,34.49971268,135.5230075,,131,無,有
晴美台中学校,590-0113,大阪府,堺市,南区,大阪府堺市 南区晴美台3丁8番1号,072-291-5300,,34.48649671,135.5281577,,132,無,有
原山台中学校,590-0132,大阪府,堺市,南区,大阪府堺市南区原山台4丁2番1号,072-299-5135,,34.48215771,135.4945304,,133,無,有
庭代台中学校,590-0133,大阪府,堺市,南区,大阪府堺市南区庭代台2丁19番1号,072-298-3043,,34.46818237,135.500234,,134,無,有
赤坂台中学校,590-0144,大阪府,堺市,南区,大阪府堺市南区赤坂台2丁1番1号,072-298-3040,,34.4842358,135.4777159,,135,無,有
美木多中学校,590-0138,大阪府,堺市,南区,大阪府堺市南区鴨谷台1丁47番1号,072-299-3700,,34.47252631,135.4834979,,136,無,有
美原中学校,587-0021,大阪府,堺市,美原区,大阪府堺市美原区小平尾390番地,072-361-0271,,34.53900273,135.5631924,,137,無,有
美原西中学校,587-0063,大阪府,堺市,美原区,大阪府堺市美原区大饗102番地2,072-361-6500,,34.54301596,135.5471725,,138,無,有
さつき野中学校,587-0031,大阪府,堺市,美原区,大阪府堺市美原区さつき野西2丁目6番1号,072-362-4707,,34.53226887,135.5801883,,139,無,有
府立登美丘高校,599-8125,大阪府,堺市,東区,大阪府堺市東区西野51番地,072-236-5041,,34.51813431,135.5411017,,140,無,有
府立泉陽高校,590-0943,大阪府,堺市,堺区,大阪府堺市堺区車之町東3丁2番1号,072-233-0588,,34.58001448,135.4799248,,141,無,有
府立三国丘高校,590-0023,大阪府,堺市,堺区,大阪府堺市堺区南三国ヶ丘町2丁2番36号,072-233-6005,,34.5734603,135.4877747,,142,無,有
府立鳳高校,593-8317,大阪府,堺市,西区,大阪府堺市西区原田150番地,072-271-5151,,34.51781932,135.4588766,,143,無,有
府立泉北高校,590-0116,大阪府,堺市,南区,大阪府堺市南区若松台3丁2番2号,072-297-1065,,34.4902818,135.5011832,,144,無,有
府立堺東高校,590-0113,大阪府,堺市,南区,大阪府堺市南区晴美台1丁1番2号,072-291-5510,,34.4993013,135.5341837,,145,無,有
府立金岡高校,591-8022,大阪府,堺市,北区,大阪府堺市北区金岡町2651番地,072-257-1431,,34.55385593,135.5272509,,146,無,有
府立東百舌鳥高校,599-8234,大阪府,堺市,中区,大阪府堺市中区土塔町2377-5,072-235-3781,,34.53532667,135.5118523,,147,無,有
府立堺西高校,590-0141,大阪府,堺市,南区,大阪府堺市南区桃山台4丁16番,072-298-4410,,34.49554794,135.4843096,,148,無,有
府立成美高校,590-0137,大阪府,堺市,南区,大阪府堺市南区城山台4丁1番1号,072-299-9000,,34.4633122,135.4868947,,149,無,有
府立福泉高校,593-8314,大阪府,堺市,西区,大阪府堺市西区太平寺323番地,072-299-9500,,34.50469725,135.4801357,,150,無,有
府立堺上高校,593-8311,大阪府,堺市,西区,大阪府堺市西区上61番地,072-271-0808,,34.52392565,135.4691523,,151,無,有
教育文化センター,599-8273,大阪府,堺市,中区,大阪府堺市中区深井清水町1426番地,072-270-8110,,34.53389772,135.4915882,,152,無,有
栂文化会館,590-0141,大阪府,堺市,南区,大阪府堺市南区桃山台2丁1番2号,072-296-0015,,34.48575824,135.4893164,,153,無,有
勤労者総合福祉センター←サンスクエア堺,590-0014,大阪府,堺市,堺区,大阪府堺市堺区田出井町2丁1番,072-222-3561,,34.57860245,135.4964469,,154,無,有
金岡公園体育館,591-8025,大阪府,堺市,北区,大阪府堺市 北区長曽根町1179番地の18,072-254-6601,,34.57072976,135.5063748,,155,無,有
大浜体育館,590-0974,大阪府,堺市,堺区,大阪府堺市堺区大浜北町5丁7番1号,072-221-2080,,34.58150644,135.459218,,156,無,有
初芝体育館,599-8116,大阪府,堺市,東区,大阪府堺市東区野尻町221番地の4,072-285-0006,,34.54040843,135.5231616,,157,無,有
鴨谷体育館,590-0138,大阪府,堺市,南区,大阪府堺市南区鴨谷台2丁4番1号,072-296-1717,,34.47418547,135.478721,,158,無,有
家原大池体育館,593-8304,大阪府,堺市,西区,大阪府堺市西区家原寺町1丁18番1号,072-271-1718,,34.53678835,135.4725475,,159,無,有
原池公園体育館,599-8267,大阪府,堺市,中区,大阪府堺市中区八田寺町320,072-278-1004,,34.51981323,135.4936539,,160,無,有
美原体育館,587-0012,大阪府,堺市,美原区,大阪府堺市美原区多治井878番地1,072-361-4511,,34.54277396,135.5670742,,161,無,有
泉北高倉小学校,590-0117,大阪府,堺市,南区,大阪府堺市南区高倉台3丁5-1,072-293-3800,,34.49365,135.5257,,162,有,有
